order_item_id,order_id,product_id,quantity,price,subtotal
1,1,1,4,29.45,117.8
2,2,12,4,70.96,283.84
3,2,17,3,339.84,1019.52
4,2,5,1,79.43,79.43
5,3,100,4,46.79,187.16
6,3,60,2,158.81,317.62
7,3,99,5,494.94,2474.7
8,3,95,2,221.84,443.68
9,4,26,5,182.69,913.45
10,5,61,1,359.64,359.64
11,6,61,5,359.64,1798.2
12,6,92,5,332.79,1663.95
13,6,35,1,410.32,410.32
14,6,86,5,397.74,1988.7
15,7,97,3,384.42,1153.26
16,7,15,1,53.94,53.94
17,7,9,4,78.57,314.28
18,7,93,3,341.85,1025.55
19,8,81,5,35.95,179.75
20,8,39,2,284.11,568.22
21,8,33,5,384.16,1920.8
22,8,94,1,241.54,241.54
23,9,67,5,401.38,2006.9
24,9,89,4,27.6,110.4
25,9,4,2,118.42,236.84
26,10,82,2,369.1,738.2
27,11,4,4,118.42,473.68
28,11,57,4,225.85,903.4
29,11,8,4,301.86,1207.44
30,12,96,5,305.97,1529.85
31,12,69,5,57.06,285.3
32,12,2,5,152.12,760.6
33,12,30,2,357.25,714.5
34,13,49,2,495.64,991.28
35,14,73,3,387.14,1161.42
36,15,89,1,27.6,27.6
37,15,55,1,329.8,329.8
38,15,8,1,301.86,301.86
39,16,46,5,306.21,1531.05
40,16,69,1,57.06,57.06
41,17,82,5,369.1,1845.5
42,17,79,3,141.3,423.9
43,17,90,5,214.08,1070.4
44,18,67,5,401.38,2006.9
45,19,46,1,306.21,306.21
46,19,61,3,359.64,1078.92
47,19,39,1,284.11,284.11
48,19,34,5,134.4,672.0
49,20,10,5,316.11,1580.55
50,20,49,2,495.64,991.28
51,20,21,1,397.21,397.21
52,21,15,3,53.94,161.82
53,21,23,1,226.38,226.38
54,21,42,3,408.3,1224.9
55,21,4,4,118.42,473.68
56,22,91,2,261.31,522.62
57,23,4,2,118.42,236.84
58,23,3,5,372.18,1860.9
59,23,97,2,384.42,768.84
60,24,57,5,225.85,1129.25
61,24,30,1,357.25,357.25
62,24,70,5,159.99,799.95
63,24,46,4,306.21,1224.84
64,25,40,1,390.15,390.15
65,25,23,3,226.38,679.14
66,25,20,3,86.94,260.82
67,26,28,3,242.71,728.13
68,26,38,4,317.16,1268.64
69,26,80,5,451.49,2257.45
70,27,82,4,369.1,1476.4
71,27,35,2,410.32,820.64
72,27,73,2,387.14,774.28
73,28,49,1,495.64,495.64
74,28,84,1,367.52,367.52
75,29,9,5,78.57,392.85
76,29,71,3,374.06,1122.18
77,29,67,3,401.38,1204.14
78,29,22,3,59.15,177.45
79,30,86,2,397.74,795.48
80,30,39,5,284.11,1420.55
81,30,24,4,78.21,312.84
82,30,10,1,316.11,316.11
83,31,20,4,86.94,347.76
84,31,91,4,261.31,1045.24
85,31,38,4,317.16,1268.64
86,32,64,2,142.89,285.78
87,32,93,2,341.85,683.7
88,33,29,2,225.18,450.36
89,34,94,5,241.54,1207.7
90,34,10,5,316.11,1580.55
91,34,6,3,142.79,428.37
92,34,39,5,284.11,1420.55
93,35,44,3,46.58,139.74
94,36,5,4,79.43,317.72
95,36,11,2,453.8,907.6
96,36,88,3,434.27,1302.81
97,37,96,3,305.97,917.91
98,37,28,4,242.71,970.84
99,37,90,2,214.08,428.16
100,37,78,1,270.01,270.01
101,38,59,2,355.95,711.9
102,38,51,5,185.34,926.7
103,39,1,3,29.45,88.35
104,39,55,4,329.8,1319.2
105,39,63,1,94.39,94.39
106,40,33,3,384.16,1152.48
107,40,6,2,142.79,285.58
108,40,84,1,367.52,367.52
109,41,81,5,35.95,179.75
110,42,100,2,46.79,93.58
111,42,47,3,45.16,135.48
112,42,73,5,387.14,1935.7
113,43,68,4,32.27,129.08
114,44,8,4,301.86,1207.44
115,44,42,2,408.3,816.6
116,45,77,3,128.87,386.61
117,46,16,5,472.23,2361.15
118,47,12,4,70.96,283.84
119,47,95,2,221.84,443.68
120,48,63,4,94.39,377.56
121,48,28,2,242.71,485.42
122,48,46,2,306.21,612.42
123,48,95,2,221.84,443.68
124,49,92,1,332.79,332.79
125,49,99,3,494.94,1484.82
126,49,41,4,41.31,165.24
