order_id,customer_id,order_date,status,total_amount
1,824,2025-09-21 00:33:08,Pending,117.8
2,852,2024-06-24 19:25:49,Pending,1382.79
3,21,2025-06-09 17:32:43,Pending,3423.1599999999994
4,531,2023-10-26 08:53:06,Cancelled,913.45
5,960,2024-06-10 18:11:08,Cancelled,359.64
6,800,2025-09-18 11:28:37,Cancelled,5861.17
7,46,2025-08-12 03:18:38,Cancelled,2547.0299999999997
8,122,2024-12-05 06:34:28,Pending,2910.31
9,402,2024-03-13 00:54:42,Completed,2354.1400000000003
10,504,2024-10-18 14:05:17,Pending,738.2
11,12,2025-08-13 10:37:48,Completed,2584.52
12,439,2024-10-13 09:30:41,Completed,3290.25
13,702,2024-06-04 05:01:20,Completed,991.28
14,892,2025-03-10 01:50:21,Completed,1161.42
15,325,2025-09-07 06:24:46,Pending,659.26
16,469,2024-12-16 01:42:43,Completed,1588.11
17,59,2024-02-08 04:41:46,Pending,3339.8
18,240,2024-01-05 07:52:47,Completed,2006.9
19,964,2023-10-31 20:14:05,Completed,2341.2400000000002
20,557,2024-05-05 06:35:49,Completed,2969.04
21,437,2024-02-05 09:30:41,Completed,2086.78
22,615,2023-11-15 18:34:04,Completed,522.62
23,226,2025-06-16 18:41:31,Cancelled,2866.58
24,707,2024-03-16 11:30:14,Pending,3511.29
25,517,2024-04-26 16:41:55,Pending,1330.11
26,402,2025-04-22 17:53:05,Pending,4254.219999999999
27,56,2024-05-01 09:30:14,Pending,3071.32
28,221,2025-03-14 13:50:03,Completed,863.16
29,996,2024-02-15 01:58:46,Cancelled,2896.62
30,858,2024-10-30 03:59:34,Pending,2844.98
31,904,2023-10-26 17:21:05,Pending,2661.6400000000003
32,783,2024-04-09 09:29:14,Completed,969.48
33,475,2025-07-01 16:52:25,Completed,450.36
34,829,2024-11-18 16:06:30,Completed,4637.17
35,831,2025-06-08 09:37:16,Cancelled,139.74
36,459,2024-06-30 20:23:26,Completed,2528.13
37,542,2025-05-24 09:04:06,Pending,2586.92
38,854,2024-03-30 21:48:06,Completed,1638.6
39,779,2024-11-15 02:07:57,Completed,1501.94
40,979,2025-04-16 20:01:40,Cancelled,1805.58
41,244,2024-11-22 16:57:54,Completed,179.75
42,435,2024-01-31 21:41:17,Cancelled,2164.76
43,20,2024-09-01 17:15:45,Cancelled,129.08
44,988,2024-01-10 21:43:53,Completed,2024.04
45,26,2025-01-02 08:21:25,Pending,386.61
46,398,2025-07-03 23:41:53,Cancelled,2361.15
47,172,2024-11-08 07:59:20,Pending,727.52
48,991,2024-02-18 17:15:02,Pending,1919.08
49,413,2025-06-27 14:10:07,Cancelled,2024.53
50,325,2024-08-07 23:47:48,Pending,41.68
51,69,2025-10-03 04:59:57,Completed,1224.84
52,308,2024-10-12 06:49:09,Completed,5455.719999999999
53,97,2024-05-25 08:53:36,Cancelled,1458.76
54,222,2023-10-26 05:31:03,Completed,1590.96
55,9,2024-09-10 02:31:52,Completed,4902.68
56,120,2024-06-23 21:27:04,Pending,1045.24
57,528,2025-07-10 20:24:53,Pending,1582.2600000000002
58,605,2024-01-28 18:44:27,Cancelled,4851.41
59,483,2023-12-22 21:02:27,Pending,540.02
60,228,2025-03-07 13:03:47,Pending,1154.6200000000001
61,882,2024-04-25 01:48:21,Pending,2257.45
62,538,2025-05-28 19:11:10,Cancelled,3611.42
63,396,2025-05-26 17:27:51,Pending,2179.27
64,505,2025-04-30 18:49:56,Pending,724.62
65,838,2024-03-16 12:43:21,Completed,3758.3999999999996
66,530,2024-01-04 18:26:37,Pending,3903.39
67,330,2023-11-19 13:19:11,Cancelled,3206.8
68,700,2024-02-19 00:46:40,Pending,1150.75
69,769,2023-12-23 11:41:17,Pending,2485.01
70,167,2025-06-18 00:09:03,Cancelled,905.58
71,451,2025-06-28 11:05:04,Pending,2831.38
72,760,2024-09-07 19:58:45,Completed,1122.81
73,272,2025-04-17 11:58:51,Cancelled,2208.6800000000003
74,470,2025-04-10 14:10:05,Completed,492.59
75,318,2024-01-31 14:37:14,Pending,329.8
76,100,2024-03-17 18:02:43,Cancelled,1566.49
77,638,2024-05-07 22:34:34,Completed,714.5
78,124,2024-12-24 09:37:10,Pending,254.74
79,355,2025-07-21 21:23:43,Pending,873.69
80,192,2025-08-06 18:18:52,Pending,3169.52
81,736,2025-01-08 05:40:45,Cancelled,2803.4199999999996
82,521,2024-08-23 20:11:14,Pending,142.89
83,856,2024-01-18 19:24:19,Cancelled,123.93
84,728,2024-04-12 13:08:24,Completed,2478.2
85,485,2024-07-10 05:10:38,Cancelled,2388.54
86,412,2025-02-18 12:26:49,Pending,1916.88
87,548,2024-05-01 13:09:00,Pending,225.2
88,216,2025-09-05 23:51:11,Pending,90.21
89,307,2024-10-14 05:05:17,Pending,1061.25
90,349,2024-03-04 04:06:42,Pending,1896.8400000000001
91,755,2025-04-18 12:49:18,Pending,4480.24
92,593,2024-06-09 07:58:27,Cancelled,2112.2799999999997
93,55,2024-05-28 16:00:00,Completed,1112.26
94,255,2025-03-07 14:08:47,Pending,171.18
95,349,2024-08-24 12:14:29,Pending,2448.8
96,931,2024-10-12 04:45:51,Completed,152.12
97,82,2024-02-28 23:10:01,Cancelled,3761.4
98,967,2024-07-30 02:47:42,Completed,365.38
99,196,2025-04-07 08:16:32,Cancelled,2463.34
100,176,2025-09-19 02:17:39,Pending,2978.34
101,411,2025-06-10 23:06:46,Pending,1677.36
102,3,2024-04-09 01:41:10,Completed,180.42
103,936,2023-10-27 00:29:29,Pending,238.96
104,297,2025-04-28 00:31:22,Completed,1786.25
105,349,2024-10-10 01:38:44,Completed,3635.2799999999997
106,796,2025-03-16 04:36:14,Pending,1252.74
107,43,2024-02-15 07:10:35,Cancelled,895.38
108,636,2025-07-20 20:36:42,Pending,675.39
109,427,2023-11-17 01:04:11,Completed,878.2900000000001
110,321,2024-01-01 08:55:44,Completed,1129.25
111,997,2025-07-31 08:16:08,Completed,965.05
112,953,2025-03-01 09:43:56,Pending,2989.8
113,373,2025-04-13 10:04:23,Completed,235.71
114,153,2025-09-03 06:36:53,Completed,1234.08
115,659,2025-01-22 22:42:20,Completed,1841.77
116,690,2024-01-07 04:41:49,Completed,1909.52
117,923,2025-01-04 17:16:54,Cancelled,611.94
118,349,2024-09-12 15:29:29,Cancelled,378.45
119,225,2025-08-07 06:36:39,Completed,1979.76
120,592,2025-06-30 23:27:25,Cancelled,1685.4699999999998
121,769,2025-03-13 08:29:40,Completed,346.91
122,426,2025-06-02 14:08:02,Completed,2479.59
123,663,2025-06-06 23:22:32,Cancelled,2071.22
124,331,2024-01-03 20:49:52,Completed,562.83
125,721,2024-03-15 02:46:57,Completed,3642.02
126,311,2024-03-22 06:45:12,Completed,3409.38
127,761,2025-02-11 05:36:09,Completed,371.98999999999995
128,11,2024-02-27 19:29:05,Pending,548.07
129,196,2025-05-29 19:43:27,Cancelled,207.44
130,991,2025-01-12 01:45:54,Completed,2239.11
131,133,2025-02-20 06:18:31,Completed,1725.65
132,665,2025-02-21 17:49:24,Completed,2907.09
133,491,2024-11-14 05:15:33,Pending,2040.3500000000001
134,545,2024-05-27 19:37:43,Completed,419.56
135,608,2025-01-24 14:36:49,Completed,3169.3399999999997
136,211,2024-10-11 10:05:18,Completed,1845.5
137,360,2025-10-10 02:35:07,Cancelled,1228.42
138,721,2024-03-12 03:20:09,Cancelled,783.93
139,48,2024-01-14 07:37:51,Completed,2389.8999999999996
140,180,2025-05-04 23:19:03,Cancelled,473.68
141,367,2025-08-28 18:03:59,Pending,1779.75
142,646,2025-06-26 17:21:46,Pending,946.8
143,697,2025-08-17 17:40:39,Cancelled,2462.95
144,609,2024-01-07 17:52:06,Pending,1419.98
145,666,2024-05-10 12:36:20,Cancelled,1367.4
146,672,2025-09-25 00:04:17,Cancelled,6392.84
147,497,2023-12-19 21:07:14,Completed,1182.09
148,578,2025-02-01 06:30:14,Cancelled,2674.12
149,370,2025-08-22 06:21:16,Pending,2297.43
150,837,2025-07-09 06:30:21,Completed,123.93
151,910,2024-05-10 19:23:15,Cancelled,2156.08
152,584,2025-09-09 23:43:36,Pending,1919.6599999999999
153,804,2025-02-08 03:43:56,Pending,719.28
154,752,2024-08-18 19:11:00,Pending,3744.7799999999997
155,386,2023-12-23 13:08:09,Cancelled,1153.26
156,718,2025-08-28 13:29:41,Cancelled,2318.77
157,567,2024-07-01 21:01:39,Pending,2764.5499999999997
158,176,2025-06-01 22:08:30,Completed,1845.18
159,530,2024-05-06 18:15:31,Cancelled,3031.71
160,161,2024-12-08 10:40:15,Pending,1869.4
161,793,2024-07-28 19:23:21,Cancelled,2343.36
162,660,2025-01-29 15:49:27,Cancelled,2258.22
163,472,2024-01-14 23:00:21,Cancelled,2262.75
164,525,2024-03-01 03:14:13,Pending,616.79
165,834,2025-03-23 11:20:13,Pending,251.25
166,561,2024-09-18 15:43:35,Cancelled,2653.08
167,899,2024-03-13 23:59:43,Cancelled,5589.79
168,82,2024-11-29 03:25:44,Cancelled,1010.24
169,322,2024-10-09 08:44:39,Pending,1760.75
170,320,2024-12-18 21:46:28,Pending,2678.11
171,596,2024-09-09 21:00:30,Completed,3507.45
172,907,2025-02-13 17:00:26,Cancelled,2411.24
173,964,2025-09-12 15:34:05,Completed,390.15
174,767,2025-06-27 15:16:12,Completed,301.86
175,521,2025-04-13 15:21:57,Completed,2644.05
176,5,2025-05-15 00:53:40,Pending,548.07
177,201,2024-02-24 01:23:03,Cancelled,1786.25
178,788,2024-08-11 14:14:13,Completed,139.74
179,894,2025-02-09 22:29:06,Cancelled,212.88
180,135,2025-07-17 13:52:39,Completed,1979.48
181,973,2025-01-06 05:57:05,Pending,2156.2400000000002
182,578,2024-12-28 04:59:13,Cancelled,426.76
183,339,2025-06-18 23:45:52,Pending,1207.7
184,433,2025-05-06 15:10:16,Completed,1045.24
185,78,2024-08-17 19:54:54,Completed,1011.73
186,94,2025-06-28 03:04:31,Cancelled,1391.26
187,171,2025-06-16 12:06:16,Cancelled,1095.3899999999999
188,31,2024-01-07 01:48:55,Pending,142.89
189,432,2023-12-31 16:39:34,Pending,910.72
190,59,2023-12-29 11:25:53,Pending,911.88
191,47,2024-08-19 13:56:12,Cancelled,741.5
192,601,2024-10-18 17:07:51,Completed,4029.72
193,48,2025-09-18 02:00:00,Cancelled,1406.5600000000002
194,233,2024-02-14 23:14:29,Completed,2794.7799999999997
195,933,2025-06-09 02:01:59,Pending,4791.73
196,424,2025-06-01 05:10:17,Cancelled,1633.2
197,826,2024-06-29 16:07:54,Pending,6082.17
198,404,2024-08-19 05:40:00,Cancelled,540.9
199,341,2025-03-10 03:02:45,Completed,885.61
200,109,2023-11-01 15:38:43,Completed,114.12
201,168,2024-06-17 00:32:00,Pending,2474.7
202,458,2024-07-18 23:10:48,Cancelled,5708.19
203,532,2024-07-26 19:05:27,Pending,283.17
204,470,2025-04-09 16:26:25,Cancelled,848.26
205,387,2025-08-04 15:09:10,Cancelled,1746.34
206,339,2024-09-13 13:01:44,Cancelled,3401.73
207,224,2024-12-18 03:17:53,Completed,651.39
208,858,2024-03-12 01:23:46,Pending,1271.68
209,542,2024-04-10 10:06:31,Completed,2321.82
210,333,2024-08-20 14:30:38,Pending,2954.3199999999997
211,235,2025-02-17 17:04:42,Pending,79.43
212,818,2024-05-09 13:14:24,Completed,3708.1400000000003
213,805,2025-08-18 17:00:21,Cancelled,1023.49
214,896,2023-12-09 03:00:37,Pending,3001.66
215,161,2024-01-28 17:03:21,Cancelled,4429.65
216,12,2024-09-25 04:54:04,Pending,338.44
217,292,2025-04-02 18:57:57,Completed,664.38
218,891,2024-05-20 08:44:22,Cancelled,2822.0499999999997
219,406,2024-10-08 01:27:47,Cancelled,2214.18
220,320,2025-03-22 15:12:47,Completed,3525.94
221,274,2024-09-26 08:11:05,Cancelled,568.22
222,871,2025-07-28 00:52:18,Completed,853.74
223,220,2025-10-05 09:08:37,Completed,3282.74
224,152,2024-01-26 16:44:41,Pending,2892.55
225,654,2025-10-19 21:02:09,Pending,1354.47
226,662,2024-02-03 23:51:43,Pending,2347.9700000000003
227,356,2025-06-30 02:31:48,Cancelled,471.1
228,750,2025-08-15 06:36:21,Pending,2374.88
229,281,2024-07-20 23:47:44,Cancelled,3914.44
230,919,2025-05-23 06:52:53,Pending,1194.44
231,151,2024-07-01 23:31:35,Cancelled,995.78
232,652,2025-04-03 03:25:35,Cancelled,7736.84
233,106,2025-08-28 23:41:05,Cancelled,2368.99
234,970,2025-04-15 06:24:17,Completed,557.85
235,681,2025-07-20 02:57:42,Completed,789.66
236,540,2024-08-22 07:11:59,Cancelled,1819.59
237,441,2024-03-03 05:28:34,Cancelled,527.64
238,425,2024-02-13 13:57:24,Completed,3673.01
239,973,2024-05-26 04:01:59,Pending,1063.11
240,371,2025-01-26 00:33:00,Completed,1714.1599999999999
241,701,2024-03-15 00:57:29,Pending,1438.57
242,366,2023-10-29 08:38:23,Pending,1349.8600000000001
243,528,2023-11-16 03:06:21,Cancelled,397.21
244,69,2025-04-09 05:29:52,Completed,5046.77
245,854,2024-03-20 03:10:47,Completed,2121.64
246,956,2024-08-21 21:04:58,Pending,2085.96
247,622,2023-11-06 13:17:42,Completed,703.47
248,298,2024-11-29 17:25:17,Cancelled,2147.98
249,140,2024-11-29 19:03:59,Pending,2399.7200000000003
